PRM_FUNCTION,PRM_GROUP,PRM_SELECT,PRM_UPDATE,PRM_INSERT,PRM_DELETE,PRM_PRINTER,PRM_SCREEN,PRM_PRFILE,PRM_LOCAL,PRM_DEFQUERY,PRM_OVERRULE,PRM_INPUT,PRM_UPDATECOUNT,PRM_CREATED,PRM_UPDATED,PRM_SECURITYDDSPYID,PRM_LASTSAVED,PRM_MOBILESTARTCARDS
CCJOBS,DK,?,*,'+,X,,,,,,,,0,2023-10-16 13:02:29,2023-10-16 13:02:29,,2023-10-16 13:02:29,
ZJ1000,DK,?,*,'+,X,,,,,,,,0,2025-10-23 11:44:13,2025-10-23 11:44:13,,2025-10-23 11:44:13,
