FTB_FUNCTION,FTB_TAB,FTB_RENTITY,FTB_VISIBLE,FTB_SELECT,FTB_UPDATE,FTB_INSERT,FTB_DELETE,FTB_DISPLAYFT,FTB_SYSREQUIRED,FTB_SEQ,FTB_SQLEXIST,FTB_UPDATECOUNT,FTB_ALTERSAVE,FTB_INTERFACECODE,FTB_MEKEY,FTB_EWSBTN,FTB_XTYPE,FTB_NODESIGN,FTB_DESIGNPOPUP,FTB_LASTSAVED,FTB_PRODUCT
CCJOBS,PAR,,'+,?,*,'+,X,'-,'+,10,,0,,WEPART,YY,'-,listdetailview,'-,'-,2021-08-20 13:37:52,B
CCJOBS,PAS,,'-,?,*,'+,X,'-,'-,23,,0,'+,,YN,'-,,'-,'-,2021-08-20 13:37:52,B
CCJOBS,PEV,PERM,'+,?,*,'+,,'-,,30,,1,'+,,YN,'-,listdetailview,'-,'-,2022-05-21 01:00:57,B
CCJOBS,PFA,,'+,?,*,'+,X,'-,'-,31,,1,'+,WEJOBP,YN,'-,,'-,'-,2022-05-21 01:00:57,B
CCJOBS,PLA,,'-,?,*,'+,X,'-,'-,43,,1,'+,WEACTJ,YY,'-,listdetailview,'-,'-,2022-05-21 01:00:57,B
CCJOBS,REA,READ,'+,?,*,'+,X,'-,,9,,1,'+,WEMTRR,YY,'-,,'-,'-,2021-11-20 01:25:52,B
CCJOBS,RMR,,'+,?,,,,'-,'-,55,,1,,,YY,'-,listonly,'+,'-,2022-10-21 17:55:05,B
CCJOBS,RSL,,'+,?,,,,,'-,60,,0,'-,,YY,'-,listonly,'+,'-,2026-04-02 01:02:59,B
CCJOBS,RSS,,'+,?,*,'+,X,'-,'-,33,,2,'+,WEJOBR,YY,'-,,'-,'-,2022-05-21 01:00:57,B
CCJOBS,RWH,EVNT,'+,?,*,,,'-,'-,37,,0,'+,,YY,'-,listonly,'+,'-,2021-08-20 13:37:52,B
CCJOBS,RWO,EVNT,'+,?,*,,,'-,'-,36,,1,'+,,YY,'-,listonly,'-,'-,2022-10-21 17:55:05,B
CCJOBS,SCH,,'+,?,*,'+,X,'-,,8,,0,'+,WESCHD,YY,'-,listdetailview,'-,'-,2021-08-20 13:37:52,B
CCJOBS,SRQ,,'+,?,,,,'-,'-,20,,1,,,YN,'-,recordview,'-,'-,2022-10-21 17:55:05,B
CCJOBS,TOR,,'+,?,*,'+,X,'-,'-,15,,2,'+,WETLWO,YY,'-,listdetailview,'-,'-,2022-05-21 01:00:57,B
CCJOBS,TOU,,'+,?,*,'+,X,'-,'-,14,,0,'+,WETLUG,YY,'-,listdetailview,'-,'-,2021-08-20 13:37:52,B
CCJOBS,TPL,,'+,?,*,'+,X,'-,'-,35,,0,'+,WEPNTL,YY,'-,listdetailview,'-,'-,2021-08-20 13:37:52,B
CCJOBS,TRL,TRL,'+,?,,,,'-,'-,50,,2,,,YY,'-,listonly,'+,'-,2022-05-21 01:00:57,B
CCJOBS,TRTD,,'+,?,,,,'-,'-,99,,0,,,YY,'-,listdetailview,'-,'+,2021-08-20 13:37:52,W
CCJOBS,VBH,BOOK,'+,?,,'+,,'-,'-,6,,1,'+,WEVDBK,YY,'-,listdetailview,'-,'-,2022-05-21 01:00:57,B
CCJOBS,WEH,,'+,?,,,,'-,'-,58,,2,,,YY,'-,listonly,'+,'-,2024-10-03 02:13:01,B
CCJOBS,WFE,WFEV,'+,?,*,,,'-,'-,57,,0,,,YY,'-,listonly,'-,'-,2023-10-12 10:50:25,B
CCJOBS,WKM,WKMV,'+,?,*,'+,X,'-,'-,45,,2,'+,OEWKMV,YY,'-,,'-,'-,2022-05-21 01:00:57,B
CCJOBS,WOR,WORP,'-,?,*,'+,X,'-,'-,42,,1,'+,WEWORP,YY,'-,listdetailview,'-,'-,2022-05-21 01:00:57,B
TRJOBS,ACD,,'-,?,*,'+,X,'-,'-,26,,1,,,YN,'-,,'-,'-,2021-11-20 01:25:52,B
TRJOBS,ACK,ACT,'+,?,*,,,'-,'-,40,,1,,,YY,'-,listonly,'-,'-,2023-04-11 17:51:43,W
TRJOBS,ACO,,'+,?,,'+,,'-,'+,19,,0,,WEWOOC,YY,'-,listdetailview,'-,'-,2021-09-29 09:33:24,B
TRJOBS,ACT,ACT,'+,?,*,'+,X,'-,'+,4,,0,'+,WEACTJ,YY,'-,,'-,'-,2021-09-29 09:33:24,B
TRJOBS,ADR,,'-,?,*,'+,X,'-,'-,25,,0,,,YN,'-,,'-,'-,2021-09-29 09:33:24,B
TRJOBS,AQU,,'+,?,,'+,X,'-,'-,28,,1,'+,WEJOBA,YN,'-,listdetailview,'-,'-,2022-05-21 01:00:57,B
TRJOBS,BOO,BOOK,'+,?,,'+,,'-,'+,5,,0,'+,WEBOOK,YY,'-,listdetailview,'-,'-,2021-09-29 09:33:24,B
TRJOBS,CEC,,'+,?,,,,'-,'-,56,,1,,,YY,'-,listonly,'+,'-,2022-10-21 17:55:05,B
TRJOBS,CGO,OBJ,'+,?,*,,,'-,'-,34,,1,,JECAME,YN,'-,listonly,'-,'-,2022-10-21 17:55:05,B
TRJOBS,CLC,,'+,?,*,'+,X,'-,'-,49,,0,,,YY,'-,closingcomments,'+,'-,2021-09-29 09:33:24,M
TRJOBS,CLO,,'+,?,*,'+,X,'-,'+,7,,1,,,YY,'-,recordview,'-,'-,2023-04-11 17:51:43,B
