PLO_USERGROUP,PLO_PAGENAME,PLO_ELEMENTID,PLO_ELEMENTTYPE,PLO_PRESENTINJSP,PLO_ATTRIBUTE,PLO_FIELDCONTAINER,PLO_FIELDGROUP,PLO_POSITIONINGROUP,PLO_FIELDCONTTYPE,PLO_TABINDEX,PLO_SYSTEMATTRIBUTE,PLO_CHANGED,PLO_UPDATECOUNT,PLO_MEKEY,PLO_MEFLAG,PLO_DEFAULTVALUE,PLO_PARENTPAGE,PLO_LASTSAVED
DK,CCJOBS,componentlocation,F,Y,H,cont_8,9,1,1,1660,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,confinedspace,F,Y,H,cont_9.1,11,1,1,2920,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,costcode,F,Y,O,cont_6,3,1,1,900,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,coveragetype,F,Y,H,cont_3,5,1,1,260,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,createcase,F,Y,H,cont_18,1,1,1,3180,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,createcustomerinvoice,F,Y,H,cont_11,1,1,1,3120,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,createdby,F,Y,P,cont_4,2,1,1,350,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,creategislinearwo,F,Y,H,cont_21,1,1,1,3600,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,createproductionorder,F,Y,H,cont_10.9,1,1,1,3100,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,createproductionrequest,F,Y,H,cont_10.8,1,1,1,3090,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,createrootcauseanalysis,F,Y,H,cont_18,4,1,1,3210,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,createstandardwo,F,Y,H,cont_10.5,1,1,1,3070,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,createwarrantyclaim,F,Y,H,cont_10.7,1,1,1,3080,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,criticality,F,Y,P,cont_5,3,1,1,620,P,'+,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,customer,F,Y,H,cont_5,11,1,1,720,P,'+,0,YN,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,customercontract,F,Y,H,cont_5,16,1,1,770,P,'+,0,YN,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,datecompleted,F,Y,H,cont_9,11,1,1,2690,O,'+,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,datecreated,F,Y,P,cont_4,3,1,1,360,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,datereported,F,Y,O,cont_9,2,1,1,2600,O,'+,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,datetimecreated,F,Y,H,cont_4,4,1,1,370,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,department,F,Y,S,cont_2,2,1,1,100,S,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,dependant,F,Y,H,cont_3,8,1,1,290,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,description,F,S,S,cont_1,1,2,2,20,S,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,downtimecost,F,Y,H,cont_6,11,1,1,1000,O,'+,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,downtimecostcurr,F,Y,H,cont_6,11,2,1,1010,P,'+,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,downtimehours,F,Y,H,cont_6,12,1,1,1020,O,'+,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,duedate,F,Y,P,cont_6,13,1,1,1030,P,'+,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,duplicatecase,F,Y,H,cont_6.85,3,1,1,1430,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,emailaddress,F,Y,P,cont_24,1,1,1,3670,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,eqpusabilitydesc,F,Y,O,cont_6.3,1,1,1,1220,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,equipmanufacturer,F,Y,H,cont_2,8,1,1,160,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,equipment,F,S,R,cont_1,3,1,2,50,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,equipmentdesc,F,Y,P,cont_1,3,2,2,60,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,equipmentorg,F,Y,H,cont_2,4,1,1,120,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,equipmenttype_display,F,Y,H,cont_2,3,1,1,110,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,esignaturedate,F,Y,H,cont_4,6,1,1,390,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,esignaturetype,F,Y,H,cont_4,7,1,1,400,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,esigner,F,Y,H,cont_4,5,1,1,380,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,esthrs,F,Y,O,cont_8,3,1,1,1600,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,estlaborcostcurrency,F,Y,H,cont_6.8,1,2,1,1340,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,estmatlcostcurrency,F,Y,H,cont_6.8,2,2,1,1360,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,estmisccostcurrency,F,Y,H,cont_6.8,3,2,1,1380,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,eventlog,F,Y,H,cont_10,1,1,1,3050,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,failurecode,F,Y,H,cont_6,7,1,1,960,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,failurecodedesc,F,Y,H,cont_6,28,1,1,1200,P,'+,0,YY,,,WSJOBS,2024-04-04 01:09:33
DK,CCJOBS,failuremodedesc,F,Y,H,cont_5,21,1,1,820,O,'+,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,firesafetyincident,F,Y,H,cont_9.2,6,1,1,3020,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,firstname,F,Y,P,cont_22,1,2,1,3620,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,flow,F,Y,H,cont_4.1,8,1,1,500,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,followupgroup_display,F,Y,H,cont_6,16,1,1,1080,P,'+,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,forprint,F,Y,H,cont_2,10,1,1,180,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,fromgeoref,F,Y,O,cont_4.1,3,1,2,440,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,fromhorizontaloffset,F,Y,H,cont_19,13,1,1,3360,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,fromhoroffsettype,F,Y,H,cont_19,14,1,1,3380,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,fromhoroffsetuom,F,Y,H,cont_19,13,2,1,3370,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,fromlatitude,F,Y,H,cont_19,10,1,1,3330,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,fromlongitude,F,Y,H,cont_19,11,1,1,3340,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,fromoffset,F,Y,H,cont_19,2,1,1,3250,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,fromoffsetdirection,F,Y,H,cont_19,4,1,1,3270,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,fromoffsetpercent,F,Y,H,cont_19,3,1,1,3260,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,frompoint,F,Y,O,cont_4.1,1,1,1,410,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,frompointuom_display,F,Y,P,cont_4.1,1,2,1,420,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,fromrefdesc,F,Y,O,cont_4.1,2,1,2,430,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,fromreferencepoint,F,Y,H,cont_19,1,1,1,3240,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,fromrelationshiptype,F,Y,H,cont_19,12,1,1,3350,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,fromverticaloffset,F,Y,H,cont_19,15,1,1,3390,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,fromverticaloffsettype,F,Y,H,cont_19,16,1,1,3410,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,fromverticaloffsetuom,F,Y,H,cont_19,15,2,1,3400,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,fromxcoordinate,F,Y,H,cont_19,8,1,1,3310,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,fromycoordinate,F,Y,H,cont_19,9,1,1,3320,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,geocodeaddress,F,Y,H,cont_18,6,1,1,3230,O,'-,0,YY,,,WSJOBS,2025-10-01 23:36:50
DK,CCJOBS,guestprofileid,F,Y,P,cont_24,2,1,1,3680,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,hazardousmaterialsincident,F,Y,H,cont_9.2,5,1,1,3010,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,hipaaconfidentiality,F,Y,H,cont_9.1,15,1,1,2960,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,hotworkburnpermit,F,Y,H,cont_9.1,10,1,1,2910,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,humanfactor,F,Y,H,cont_5,24,1,1,850,O,'+,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,humanoversight,F,Y,H,cont_6,26,1,1,1180,O,'+,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,inspectiondirection,F,Y,H,cont_4.1,7,1,1,490,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,interiminfectioncontrol,F,Y,H,cont_9.1,3,1,1,2840,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,interimlifesafety,F,Y,H,cont_9.1,2,1,1,2830,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,lastmeterread,F,Y,H,cont_6,5,1,1,930,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,lastname,F,Y,P,cont_22,1,4,1,3640,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,latitude,F,Y,H,cont_6,21,1,1,1130,O,'+,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,location,F,Y,O,cont_1,4,1,2,70,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,locationdesc,F,Y,P,cont_1,4,2,2,80,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,lockouttagout,F,Y,H,cont_9.1,9,1,1,2900,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,longitude,F,Y,H,cont_6,22,1,1,1140,O,'+,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,maintenancepattern,F,Y,H,cont_5,5,1,1,640,P,'+,0,YN,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,maintenancepatterndash,F,Y,H,cont_5,5,2,1,650,O,'+,0,YN,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,managerprofileid,F,Y,P,cont_24,3,1,1,3690,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,manufacturer,F,Y,H,cont_7,9,1,1,1570,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,matlcode,F,Y,O,cont_7,5,1,1,1530,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,medicalequipmentincident,F,Y,H,cont_9.2,7,1,1,3030,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,meteruom,F,Y,H,cont_6,5,2,1,940,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,methodofdetection,F,Y,H,cont_6,27,1,1,1190,O,'+,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,middlename,F,Y,P,cont_22,1,3,1,3630,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,minor,F,Y,H,cont_6,19,1,1,1110,O,'+,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,model,F,Y,H,cont_2,9,1,1,170,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,mpsequence,F,Y,H,cont_5,5,3,1,660,P,'+,0,YN,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,msproject,F,Y,H,cont_5,8,1,1,690,P,'+,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,multiequip,F,Y,H,cont_2,5,1,1,130,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,multipletrades,F,Y,H,cont_7,3,1,1,1510,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,oemsitesystemid,F,Y,H,cont_3,3,1,1,240,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,organization,F,S,S,cont_4,1,1,1,340,S,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,origcasemanagementtask,F,Y,H,cont_6.85,8,1,1,1480,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,originatingcase,F,Y,H,cont_6.85,7,1,1,1470,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,originatingjob,F,Y,H,cont_6,15,1,1,1070,P,'+,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,originatingwo,F,Y,H,cont_6,14,1,1,1040,P,'+,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,originatingwoactivity,F,Y,H,cont_6,14,3,1,1060,P,'+,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,originatingwodash,F,Y,H,cont_6,14,2,1,1050,P,'+,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,package,F,Y,P,cont_5,17,1,1,780,P,'+,0,YN,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,parentproperty,F,Y,H,cont_1,2,1,2,30,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,parentpropertydesc,F,Y,H,cont_1,2,2,2,40,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,parentwo,F,Y,H,cont_5,6,1,1,670,O,'+,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,patientsafety,F,Y,H,cont_9.1,12,1,1,2930,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,patientvisitorinjury,F,Y,H,cont_9.2,1,1,1,2970,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,performlinearsearch,F,Y,H,cont_18,3,1,1,3200,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,permfixpromisedate,F,Y,O,cont_6.5,1,1,1,1270,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,permitreviewedby,F,Y,H,cont_5,20,1,1,810,P,'+,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,personalprotectiveequipment,F,Y,H,cont_9.1,8,1,1,2890,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,phonenumber,F,Y,P,cont_23,2,1,1,3660,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,piddrawing,F,Y,H,cont_3,12,1,1,330,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,pidno,F,Y,H,cont_3,11,1,1,320,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,planforimprovement,F,Y,H,cont_9.1,5,1,1,2860,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,pmcode,F,Y,P,cont_5,4,1,1,630,P,'+,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,pplreq,F,Y,O,cont_8,5,1,1,1620,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,preconstructionriskassessment,F,Y,H,cont_9.1,4,1,1,2850,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,preservecalcpriority,F,Y,H,cont_6,20,1,1,1120,O,'+,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,printed,F,Y,H,cont_3,9,1,1,300,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
