FUN_CODE,FUN_DESC,FUN_CLASS,FUN_SUBTYPE,FUN_FILE,FUN_RENTITY,FUN_PUBLIC,FUN_SELECT,FUN_UPDATE,FUN_INSERT,FUN_DELETE,FUN_AUTO,FUN_MODE,FUN_DEVICE,FUN_ORIENTATION,FUN_LASTVALUE,FUN_BACKGROUND,FUN_APPLICATION,FUN_BACKGROUNDREP,FUN_BACKGROUNDGRAPH,FUN_DIRSEL,FUN_COMMAND,FUN_ICON,FUN_DIRECTORY,FUN_SYSTEM,FUN_DISPLAYAP,FUN_DISPLAYFT,FUN_POPUPAP,FUN_POPUPFT,FUN_PARENTFUNCTION,FUN_PARENTTAB,FUN_UGFILE,FUN_DESCCHANGED,FUN_CLASS_ORG,FUN_PERTYPE,FUN_WORKBOOK,FUN_WORKSHEET,FUN_NOW,FUN_RS,FUN_LST,FUN_HDR,FUN_UPDATECOUNT,FUN_EWSREPORT,FUN_PRDDATASRC,FUN_RPTFILEUPDATEDBY,FUN_RPTFILEUPDATED,FUN_EWSURLNEW,FUN_TICKET,FUN_REPDISABLED,FUN_ADVREPT,FUN_MEKEY,FUN_EWSBTN,FUN_UPDATED,FUN_TXTCODE,FUN_UDFRENTITY,FUN_FIELDFILTERTYPE,FUN_FIELDFILTERCLASS,FUN_FIELDFILTERWOOBJTYPE,FUN_XTYPE,FUN_NODESIGN,FUN_STARTUPVIEW,FUN_FIELDFILTERCHECKLIST,FUN_FIELDFILTERCFCLASS,FUN_FIELDFILTERCFCLASS_ORG,FUN_FIELDFILTERCFORG,FUN_SPLITVIEWDISPLAY,FUN_RESERVATIONCALENDAR,FUN_SCHEDULERVIEW,FUN_BLOCKDURATION,FUN_WORKINGSTARTTIMEHOURS,FUN_WORKINGSTARTTIMEMINUTES,FUN_WORKINGENDTIMEHOURS,FUN_WORKINGENDTIMEMINUTES,FUN_DEFAULTRESERVATIONTYPE,FUN_DEFAULTRESERVATIONSTATUS,FUN_SUNDAY,FUN_MONDAY,FUN_TUESDAY,FUN_WEDNESDAY,FUN_THURSDAY,FUN_FRIDAY,FUN_SATURDAY,FUN_AUTOREFRESHTIMER,FUN_POPUPFUNCTION,FUN_LASTSAVED,FUN_MOBILEROUTE,FUN_PRODUCT,FUN_MOBDEEPLINKMAPSCREEN,FUN_MOBILEICON
CCJOBS,Contract Jobs,WEBL,M,r5menu,EVNT,,?,*,'+,X,D,,,,EVNT,'-,WSJOBS,WZJOBQ,,'-,,,,'+,'+,'+,'-,'-,,,,'-,*,,,,,'-,'+,'+,5,'-,'-,,,'-,,'-,'-,YY,'-,2026-01-14 10:11:52,23635,EVNT,'-,'+,'-,,'-,LV,'-,,,,M,'-,,,,,,,,,'-,'-,'-,'-,'-,'-,'-,,,2026-01-14 10:11:52,work/workorder,B,BCJOBS,
TRJOBS,Transportation WO's,WEBL,M,r5menu,EVNT,,?,*,'+,X,D,,,,EVNT,'-,WSJOBS,WZJOBQ,,'-,,,,'+,'+,'+,'-,'-,,,,'-,*,,,,,'-,'+,'+,7,'-,'-,,,'-,,'-,'-,YY,'-,2026-01-14 10:11:41,23635,EVNT,'+,'-,'-,,'-,SV,'-,,,,M,'-,,,,,,,,,'-,'-,'-,'-,'-,'-,'-,,,2026-01-14 10:11:41,work/workorder,B,,
ZJ1000,Customer Quotes,WEBL,M,r5menu,EVNT,,?,*,'+,X,D,,,,EVNT,'-,WSJOBS,WZJOBQ,,'-,,,,'+,'-,'+,'-,'-,,,,'+,*,,,,,'-,'+,'+,4,'-,'-,,,'-,,'-,'-,YY,'-,2025-10-23 13:36:02,,EVNT,'+,'+,'-,,'-,LV,'-,,,,M,'-,,,,,,,,,'-,'-,'-,'-,'-,'-,'-,,,2026-04-02 01:02:47,work/workorder,B,,
WSJODC,Work Orders (DC) ,WEBL,M,r5menu,EVNT,,?,*,'+,X,D,,,,EVNT,'-,WSJOBS,WZJOBQ,,'-,,,,'+,'-,'+,'-,'-,,,,'-,*,,,,,'-,'+,'+,2,'-,'-,,,'-,,'-,'-,YY,'-,2025-10-08 08:57:55,,EVNT,'-,'-,'-,,'-,LV,'-,,,,M,'-,,,,,,,,,'-,'-,'-,'-,'-,'-,'-,,,2026-04-02 01:02:47,work/workorder,B,,
