TRP_FUNCTION,TRP_TAB,TRP_GROUP,TRP_VISIBLE,TRP_SELECT,TRP_UPDATE,TRP_INSERT,TRP_DELETE,TRP_SYSREQUIRED,TRP_UPDATECOUNT,TRP_SEQUENCE,TRP_SECURITYDDSPYID,TRP_ALTERSAVE,TRP_UPDATED,TRP_LASTSAVED
CCJOBS,RSL,DK,,,,,,,1,105,,'-,2026-04-02 01:02:59,2026-04-02 01:02:59
CCJOBS,RSS,DK,'+,?,*,'+,X,'-,0,33,,'+,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,RWH,DK,'-,?,*,,,'-,0,37,,'+,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,RWO,DK,'+,?,*,,,'-,0,36,,'+,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,SCH,DK,'+,?,*,'+,X,'-,0,51,,'+,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,SRQ,DK,'+,?,,,,'-,0,20,,,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,TOR,DK,'+,?,*,'+,X,'-,0,15,,'+,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,TOU,DK,'+,?,*,'+,X,'+,0,6,,'+,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,TPL,DK,'+,?,*,'+,X,'-,0,35,,'+,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,TRL,DK,'+,?,,,,'-,0,60,,,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,TRTD,DK,'+,?,,,,'-,0,99,,,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,VBH,DK,'+,?,,'+,,'-,0,50,,'+,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,WEH,DK,,,,,,,2,103,,,2024-10-03 02:13:01,2024-10-03 02:13:01
CCJOBS,WFE,DK,'+,?,*,,,'-,0,102,,,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,WKM,DK,'+,?,*,'+,X,'-,0,45,,'+,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,WOR,DK,'-,?,*,'+,X,'-,0,42,,'+,2023-10-16 13:02:29,2023-10-16 13:02:29
ZJ1000,ACD,DK,'-,?,*,'+,X,'-,1,26,,,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,ACK,DK,'-,?,*,,,'-,1,40,,,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,ACO,DK,'-,?,,'+,,'+,1,19,,,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,ACT,DK,'-,?,*,'+,X,'+,1,4,,'+,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,ADR,DK,'-,?,*,'+,X,'-,1,25,,,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,AQU,DK,'-,?,,'+,X,'-,1,28,,'+,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,BOO,DK,'-,?,,'+,,'+,1,5,,'+,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,CEC,DK,'-,?,,,,'-,1,56,,,2025-10-23 13:36:34,2025-10-23 13:36:34
ZJ1000,CGO,DK,'-,?,*,,,'-,1,34,,,2025-10-23 13:37:28,2025-10-23 13:37:28
ZJ1000,CLC,DK,'-,?,*,'+,X,'-,1,49,,,2025-10-23 13:36:34,2025-10-23 13:36:34
